dataset,threshold,entity_id,deleted_records,touched_components,touched_records,deleted_group_tags,inserted_group_tags,witnessed_wur,changed_surviving_records
febrl2,0.72,1967,1,1,1,1,0,1,0
febrl2,0.72,3999,1,1,1,1,0,1,0
febrl2,0.72,3642,1,1,1,1,0,1,0
febrl2,0.72,3114,1,1,1,1,0,1,0
febrl2,0.72,1480,1,1,1,1,0,1,0
febrl2,0.72,2155,1,1,1,1,0,1,0
febrl2,0.72,1962,1,1,1,1,0,1,0
febrl2,0.72,1622,1,1,1,1,0,1,0
febrl2,0.72,1845,2,1,3,1,1,2,1
febrl2,0.72,2893,1,1,2,1,1,2,1
febrl2,0.72,3921,1,1,1,1,0,1,0
febrl2,0.72,1404,1,1,1,1,0,1,0
febrl2,0.72,343,1,1,1,1,0,1,0
febrl2,0.72,109,1,1,1,1,0,1,0
febrl2,0.72,3785,4,1,4,1,0,1,0
febrl2,0.72,81,1,1,1,1,0,1,0
febrl2,0.72,3994,1,1,1,1,0,1,0
febrl2,0.72,675,1,1,1,1,0,1,0
febrl2,0.72,2732,1,1,1,1,0,1,0
febrl2,0.72,1179,1,1,1,1,0,1,0
febrl2,0.72,2546,1,1,1,1,0,1,0
febrl2,0.72,2930,1,1,1,1,0,1,0
febrl2,0.72,1625,1,1,1,1,0,1,0
febrl2,0.72,1042,1,1,1,1,0,1,0
febrl2,0.72,2469,1,1,1,1,0,1,0
febrl2,0.72,314,1,1,1,1,0,1,0
febrl2,0.72,325,1,1,3,1,1,2,2
febrl2,0.72,3099,4,1,4,1,0,1,0
febrl2,0.72,1574,3,1,3,1,0,1,0
febrl2,0.72,1012,1,1,1,1,0,1,0
febrl2,0.72,3019,1,1,1,1,0,1,0
febrl2,0.72,2497,1,1,1,1,0,1,0
febrl2,0.72,3564,1,1,1,1,0,1,0
febrl2,0.72,2106,1,1,1,1,0,1,0
febrl2,0.72,1865,1,1,1,1,0,1,0
febrl2,0.72,3995,1,1,1,1,0,1,0
febrl2,0.72,1094,1,1,1,1,0,1,0
